Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,Bovada,-800,475,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,Circa Sports,-770,497,Denver Nuggets,Utah Jazz
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,LowVig.ag,170,-195,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,BetUS,170,-200,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,BetOnline.ag,170,-196,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,William Hill (US),185,-225,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,DraftKings,165,-195,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,FanDuel,172,-205,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,GTbets,185,-220,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,Betfair,184,-189,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,BetMGM,170,-210,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,MyBookie.ag,172,-212,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,PointsBet (US),165,-200,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,Bovada,175,-210,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,Barstool Sportsbook,175,-215,Minnesota Timberwolves,Portland Trail Blazers
